Facultad,nombre_carrera,Malla,cod_ramo,Asignatura,año,semestre,horas_duracion,SCT,SOLOPROCESOS
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERIA CIVIL EN MEDIO AMBIENTE Y SUSTENTABILIDAD,MRC26,MAT0001,NIV0. MATEMÁTICAS,1,1,40,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERIA CIVIL EN MEDIO AMBIENTE Y SUSTENTABILIDAD,MRC26,TAU0001,NIV0. TALLER AUTOGESTIÓN,1,1,20,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,ALG00201,ÁLGEBRA I,1,1,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,CAL00201,CÁLCULO I,1,1,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,ING00201,INTRODUCCIÓN  A LA INGENIERÍA,1,1,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,PRO00201,PROGRAMACIÓN I,1,1,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,IDU00201,IDENTIDAD UNIVERSITARIA I,1,1,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,LEN00201,LENGUA EXTRANJERA I,1,1,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,ALG00202,ÁLGEBRA II,1,2,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,CAL00202,CÁLCULO II,1,2,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,FGN002025,FÍSICA GENERAL,1,2,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,PRO00202,PROGRAMACIÓN II,1,2,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,IDU00202,IDENTIDAD UNIVERSITARIA II,1,2,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,LEN00202,LENGUA EXTRANJERA II,1,2,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,QID00203,QUÍMICA INDUSTRIAL,2,3,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,EST00203,ESTADÍSTICA I,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,CAL00203,CÁLCULO III,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,TER00203,TERMODINÁMICA,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,FED00203,FORMACIÓN ÉTICA PARA EL DESARROLLO SOSTENIBLE,2,3,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,LEN00203,LENGUA EXTRANJERA III,2,3,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,EDF00204,ECUACIONES DIFERENCIALES,2,4,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,EMG00204,ELECTRICIDAD Y MAGNETISMO,2,4,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,EST00204,ESTADÍSTICA II,2,4,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,INM00204,INGENIERÍA DE MATERIALES,2,4,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,RSU00204,RESPONSABILIDAD SOCIAL UNIVERSITARIA,2,4,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,LEN00204,LENGUA EXTRANJERA IV,2,4,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,CON00205,CALOR Y ONDAS,3,5,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,CCO00205,CONTABILIDAD Y COSTOS,3,5,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,GEL00205,GESTIÓN LOGÍSTICA,3,5,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,IN00205,INVESTIGACIÓN DE OPERACIONES I,3,5,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,ECO00205,ECONOMÍA,3,5,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,EFG00205,ELECTIVO DE FORMACIÓN GENERAL I,3,5,36,2,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,MEF00206,MECÁNICA DE FLUIDOS,3,6,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,GOP00206,GESTIÓN DE OPERACIONES,3,6,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,GSA00206,GESTIÓN DE SISTEMA AMBIENTAL,3,6,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,FIN00206,FINANZAS,3,6,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,INO00206,INVESTIGACIÓN DE OPERACIONES II,3,6,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,EFG00206,ELECTIVO DE FORMACIÓN GENERAL II,3,6,36,2,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,TRD00207,TRANSFORMACIÓN DIGITAL,4,7,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,SIG00207,SISTEMAS DE INFORMACIÓN PARA LA GESTIÓN,4,7,36,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,INE00207,INGENIERÍA ECONÓMICA,4,7,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,MDI00207,METODOLOGÍA DE LA INVESTIGACIÓN,4,7,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,MRK00207,MARKETING,4,7,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,ITA00207,"INNOVACIÓN, TECNOLOGÍA Y ANALÍTICA DE DATOS",4,7,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,TDS00208,TEORÍA DE DECISIONES EN SISTEMAS COMPLEJOS,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,AIR00208,AUTOMATIZACIÓN INDUSTRIAL Y ROBÓTICA,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,PRI00203,PROCESOS INDUSTRIALES,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,PEP00208,PREPARACIÓN Y EVALUACIÓN DE PROYECTOS,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,CID00208,CIENCIA DE DATOS,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,GEE0008,GESTIÓN ESTRATÉGICA,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,EFE00209,EFICIENCIA ENERGÉTICA,5,9,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,LNG00209,"LIDERAZGO, NEGOCIACIÓN Y GESTIÓN DEL CAPITAL HUMANO",5,9,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,SGC00209,SISTEMAS DE GESTIÓN Y CONTROL ESTRATÉGICO,5,9,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,SIM00209,SIMULACIÓN,5,9,72,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,GEP00209,GESTIÓN DE PROYECTOS,5,9,72,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,ACT00209,ACTIVIDAD DE TITULACIÓN I,5,9,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,ACT00210,ACTIVIDAD DE TITULACIÓN II,5,10,72,7,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,PPF00210,PRÁCTICA PROFESIONAL,5,10,472,20,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,OPC00210,OPTATIVO DE CERTIFICACIÓN,5,10,36,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,LGJ0001,NIV0. LENGUAJE,1,1,20,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,MAT0001,NIV0. MATEMÁTICAS,1,1,40,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA CIVIL INDUSTRIAL,MRC26,TAU0001,NIV0. TALLER AUTOGESTIÓN,1,1,20,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MAT00101,MATEMÁTICAS I,1,1,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,EEG00101,ENTORNO ECONÓMICO GLOBAL,1,1,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,AEG00101,ADMINISTRACIÓN Y ÉTICA ORGANIZACIONAL,1,1,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,DCD00101,DESARROLLO DE COMPETENCIAS DIGITALES,1,1,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,LEN00101,LENGUA EXTRANJERA I,1,1,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,IDU00101,IDENTIDAD UNIVERSITTARIA I,1,1,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MAT00102,MATEMÁTICAS II,1,2,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,FCE00102,FUNDAMENTOS CONTABLES PARA LA EMPRESA,1,2,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MIC00102,MICROECONOMÍA I,1,2,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,ETD00102,ESTRATEGIAS DE GESTIÓN Y TOMA DE DECISIONES,1,2,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,STD00102,SISTEMAS TECNOLÓGICOS DIGITALES,1,2,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,LEN00102,LENGUA EXTRANJERA II,1,2,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,IDU00102,IDENTIDAD UNIVERSITARIA II,1,2,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MAT00103,MATEMÁTICAS III,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,EST00103,ESTADÍSTICA I,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,COF00103,CONTABILIDAD FINANCIERA,2,3,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MAC00103,MACROECONOMÍA I,2,3,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,LEN00103,LENGUA EXTRANJERA III,2,3,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,FED00103,FORMACIÓN ÉTICA PARA EL DESARROLLO SOSTENIBLE,2,3,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,EST00104,ESTADÍSTICA II,2,4,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,CPR00104,COSTOS Y PRESUPUESTOS,2,4,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MIC00104,MICROECONOMÍA II,2,4,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,IME00104,INTELIGENCIA DE MARKETING Y ECOSISTEMAS DIGITALES,2,4,36,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,LEN00104,LENGUA EXTRANJERA IV,2,4,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,RSU00104,RESPONSABILIDAD SOCIAL UNIVERSITARIA,2,4,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,FIN00105,FINANZAS I,3,5,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MAC00105,MACROECONOMÍA II,3,5,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,APP00105,ADMINISTRACIÓN Y POLÍTICAS PÚBLICAS,3,5,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,INM00105,INVESTIGACIÓN DE MERCADOS,3,5,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,DLC00105,DERECHO LABORAL Y COMERCIAL,3,5,36,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,EFG00105,ELECTIVO DE FORMACIÓN GENERAL I,3,5,36,2,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,FIN00106,FINANZAS II,3,6,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,ECO00106,ECONOMETRÍA,3,6,72,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,NDC00106,NEGOCIACIÓN Y DESARROLLO DEL LIDERAZGO,3,6,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MKE00106,MARKETING ESTRATÉGICO,3,6,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,LOD00106,LOGÍSTICA Y DISTRIBUCIÓN,3,6,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,PEM00106,PRÁCTICA EMPRESARIAL I,3,6,136,8,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,ARF00107,ANÁLISIS DE RIESGO FINANCIERO,4,7,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,ITA00107,"INNOVACIÓN, TECNOLOGÍA Y ANALÍTICA DE DATOS",4,7,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,PES00107,PLANIFICACIÓN ESTRATÉGICA,4,7,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MIN00107,METODOLOGÍA DE LA INVESTIGACIÓN,4,7,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,PEP00107,PREPARACIÓN Y EVALUACIÓN DE PROYECTOS,4,7,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,EFG00107,ELECTIVO DE FORMACIÓN GENERAL II,4,7,36,2,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,JNE00108,JUEGO DE NEGOCIOS,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,IOG00108,INNOVACIÓN ORGANIZACIONAL Y GESTIÓN DEL CAMBIO,4,8,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,CGE00108,CONTROL DE GESTIÓN,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,GPR00108,GESTIÓN DE PROYECTOS,4,8,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,DCA00108,DIRECCIÓN Y COMUNICACIÓN DE ALTOS MANDOS PARA NEGOCIOS,4,8,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,PEM00108,PRÁCTICA EMPRESARIAL II,4,8,136,8,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,O1E00109,OPTATIVO DE ESPECIALIZACIÓN I,5,9,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,O2E00109,OPTATIVO DE ESPECIALIZACIÓN II,5,9,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,O3E00109,OPTATIVO DE ESPECIALIZACIÓN III,5,9,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,O4E00109,OPTATIVO DE ESPECIALIZACIÓN IV,5,9,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,TFI00109,TRABAJO FINAL INTEGRADO I,5,9,72,15,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,O5E00110,OPTATIVO DE ESPECIALIZACIÓN V,5,10,54,7,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,O6E00110,OPTATIVO DE ESPECIALIZACIÓN VI,5,10,54,7,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,O7E00110,OPTATIVO DE ESPECIALIZACIÓN VII,5,10,36,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,TFI00110,TRABAJO FINAL INTEGRADO II,5,10,72,15,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,LGJ0001,NIV0. LENGUAJE,1,1,20,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,MAT0001,NIV0. MATEMÁTICAS,1,1,40,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA COMERCIAL,MRC26,TAU0001,NIV0. TALLER AUTOGESTIÓN,1,1,20,,1
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,ALG45401,ÁLGEBRA,1,1,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,CAL45401,CÁLCULO I,1,1,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,IMN45401,INTRODUCCIÓN A LA MECATRÓNICA,1,1,36,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,PRO45401,PROGRAMACIÓN I,1,1,36,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,LEN45401,LENGUA EXTRANJERA I,1,1,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,IDU45401,IDENTIDAD UNIVERSITARIA I,1,1,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,TIT42401,TALLER IOT,1,1,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,FGN45402,FÍSICA GENERAL,1,2,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,CAL45402,CÁLCULO II,1,2,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,DME45402,DIBUJO MECATRÓNICO,1,2,36,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,PRO45402,PROGRAMACIÓN II,1,2,36,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,LEN45402,LENGUA EXTRANJERA II,1,2,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,IDU45402,IDENTIDAD UNIVERSITARIA II,1,2,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,EMG45403,ELECTRICIDAD Y MAGNETISMO,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,EST45403,ESTADÍSTICA,2,3,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,STM45403,SISTEMAS DE TRANSMISIÓN MECÁNICA,2,3,36,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,PMC45403,PROGRAMACIÓN DE MICROCONTROLADORES,2,3,36,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,LEN45403,LENGUA EXTRANJERA III,2,3,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,FED45403,FORMACIÓN ÉTICA PARA EL DESARROLLO SOSTENIBLE,2,3,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,CON45404,CALOR Y ONDAS,2,4,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,MNU45404,MÉTODOS NUMÉRICOS,2,4,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,CEL45404,CIRCUITOS ELECTRÓNICOS,2,4,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,LNO45404,LEGISLACIÓN Y NORMAS,2,4,36,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,LEN45404,LENGUA EXTRANJERA IV,2,4,54,4,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,RSU45404,RESPONSABILIDAD SOCIAL UNIVERSITARIA,2,4,36,3,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,TER45405,TERMODINÁMICA,3,5,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,CID45405,CIENCIA DE DATOS,3,5,54,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,MEF45405,MECÁNICA DE FLUIDOS,3,5,72,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,ELE45405,ELECTRÓNICA,3,5,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,SEM45405,SISTEMAS EMBEBIDOS,3,5,36,5,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,EFG45405,ELECTIVO DE FORMACIÓN GENERAL I,3,5,36,2,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,INA45406,INTELIGENCIA  ARTIFICIAL I,3,6,54,6,0
"INGENIERÍA, CIENCIA Y TECNOLOGÍA",INGENIERÍA EN MECATRÓNICA,MRC26,IRM45406,INGENIERÍA Y RESISTENCIA DE MATERIALES,3,6,72,6,0
